Date,instrument_symbol,Open,High,Low,Close,Adj Close,Volume
2/1/2020,VT,80,83.23000336,71.48999786,73.97000122,70.97834778,44682000
3/1/2020,VT,74.05999756,77.18000031,53.70000076,62.79999924,60.26010895,117625500
4/1/2020,VT,60.70000076,70.66000366,59.63000107,69.30999756,66.77018738,57135500
5/1/2020,VT,68.06999969,73.63999939,66.16000366,72.91999817,70.24790955,45820500
6/1/2020,VT,73.13999939,78.44000244,72.26999664,74.80000305,72.05901337,50768900
7/1/2020,VT,75.02999878,79.73000336,74.91999817,78.76000214,76.23858643,34653100
8/1/2020,VT,79.29000092,83.98999786,79.18000031,83.48999786,80.81715393,19741000
9/1/2020,VT,83.68000031,85.19000244,77.63999939,80.63999939,78.05839539,33025600
10/1/2020,VT,81.26000214,84.88999939,78.27999878,78.98999786,76.84282684,29704600
11/1/2020,VT,79.86000061,89.86000061,79.26999664,88.76000214,86.34725952,27913000
12/1/2020,VT,89.90000153,92.90000153,89.52999878,92.58000183,90.06341553,28421400
1/1/2021,VT,93.44000244,96.41999817,91.27999878,92.37000275,90.3999939,46092800
2/1/2021,VT,93.41999817,99.19000244,92.94999695,94.83999634,92.81731415,26865600
3/1/2021,VT,96.13999939,98.77999878,92.94999695,97.29000092,95.215065,59513100
4/1/2021,VT,97.93000031,102.7799988,97.91000366,101.3099976,99.40796661,33771800
5/1/2021,VT,101.9499969,103.1800003,98.56999969,102.9100037,100.9779282,38581100
6/1/2021,VT,103.8199997,104.5100021,101.5599976,103.6100006,101.6647873,32203400
7/1/2021,VT,103.7399979,105.0999985,100.8799973,104.25,102.8026428,67487700
8/1/2021,VT,104.8499985,106.7799988,102.8300018,106.6100006,105.1298828,31293600
9/1/2021,VT,107.0699997,107.7399979,101.6900024,101.8300018,100.4162445,44285100
10/1/2021,VT,102.0800018,107.6299973,100.6999969,107.0699997,105.9990234,36029100
11/1/2021,VT,107.4199982,109.3899994,103.8499985,104.2699966,103.2270279,40042400
12/1/2021,VT,105.5999985,108.1800003,102.5599976,107.4300003,106.3554153,66477300
1/1/2022,VT,107.9100037,108.5800018,97.19999695,102.5100021,102.2483292,71026400
2/1/2022,VT,102.8600006,104.9499969,94.51999664,99.66999817,99.41558075,94573200
3/1/2022,VT,99.37999725,101.4700012,93.19000244,101.3099976,101.0513916,59141500
3/22/2022,VT,100.6399994,101.4700012,100.6299973,101.3099976,101.3099976,1173077
10/1/2018,BNDW,74.59999847,74.72000122,74.01999664,74.43000031,67.98239136,212700
11/1/2018,BNDW,74.33000183,74.73000336,74.09999847,74.69999695,68.33686066,483300
12/1/2018,BNDW,74.61000061,75.55999756,74.44999695,74.79000092,68.53521729,491300
1/1/2019,BNDW,74.87999725,75.62000275,74.62000275,75.58999634,70.20053864,357600
2/1/2019,BNDW,75.43000031,75.77999878,75.23000336,75.51999664,70.13552856,230900
3/1/2019,BNDW,75.33999634,76.91000366,75.27999878,76.83999634,71.48059845,244600
4/1/2019,BNDW,76.59999847,76.76000214,76.25,76.70999908,71.4693985,255600
5/1/2019,BNDW,76.58000183,77.79000092,76.48999786,77.79000092,72.59468079,254700
6/1/2019,BNDW,77.73999786,78.80999756,77.66999817,78.77999878,73.64045715,248800
7/1/2019,BNDW,78.68000031,79.26999664,78.43000031,79.22000122,74.16999817,298700
8/1/2019,BNDW,79.19999695,81.16000366,79.19000244,81.02999878,75.97938538,313500
9/1/2019,BNDW,80.90000153,81.11000061,79.40000153,80.43000031,75.53502655,379900
10/1/2019,BNDW,80.13999939,80.76000214,79.61000061,80.22000122,75.46632385,670400
11/1/2019,BNDW,80.09999847,80.09999847,79.19000244,79.93000031,75.30305481,719800
12/1/2019,BNDW,79.58000183,79.98999786,78.51000214,78.62000275,74.18447113,893000
1/1/2020,BNDW,78.72000122,80.15000153,78.63999939,80.12999725,76.7181015,847400
2/1/2020,BNDW,79.95999908,80.95999908,79.59999847,80.94999695,77.50318909,1011000
3/1/2020,BNDW,80.83999634,82.58000183,74,79.44999695,76.17733002,2195200
4/1/2020,BNDW,79.23000336,81,78.73999786,80.76999664,77.54928589,860200
5/1/2020,BNDW,80.86000061,81.18000031,80.16999817,81.16000366,78.04456329,457500
6/1/2020,BNDW,80.91000366,81.63999939,80.47000122,81.55000305,78.52947235,1128900
7/1/2020,BNDW,81.31999969,82.40000153,81.18000031,82.38999939,79.44602203,1087800
8/1/2020,BNDW,82.37999725,82.5,81.44999695,81.58999634,78.77796936,1010500
9/1/2020,BNDW,81.52999878,82,81.47000122,81.81999969,79.0998764,637500
10/1/2020,BNDW,81.58999634,82.01999664,81.51000214,81.58000183,78.96660614,665600
11/1/2020,BNDW,81.66000366,82.19000244,81.30999756,82.18000031,79.64376068,674900
12/1/2020,BNDW,81.87000275,82.26000214,81.68000031,82.19999695,79.76187897,964200
1/1/2021,BNDW,82.12000275,82.18000031,81.36000061,81.58000183,79.34846497,1188900
2/1/2021,BNDW,81.51999664,81.58000183,79.5,80.06999969,77.87976074,1244700
3/1/2021,BNDW,80.02999878,80.22000122,79.25,79.63999939,77.54991913,817600
4/1/2021,BNDW,79.75,80.12000275,79.5,79.73999786,77.73565674,648600
5/1/2021,BNDW,79.58999634,79.94000244,79.19999695,79.76000214,77.84409332,554100
6/1/2021,BNDW,79.65000153,80.31999969,79.51000214,80.19000244,78.34925079,718500
7/1/2021,BNDW,80.06999969,81.23999786,80.01000214,81.12000275,79.34643555,508500
8/1/2021,BNDW,81.12999725,81.37000275,80.62999725,80.73999786,79.06249237,520300
9/1/2021,BNDW,80.87000275,80.87000275,79.80000305,79.84999847,78.2768631,789200
